;id_res;id_vig;t;vig_rating_live;vig_rating_work;vig_rating_social_ben;vig_gender;vig_origin;vig_reason;vig_qualific;vig_language;vig_religion;res_gender;res_educ_cat1;res_religious_denom;res_migr_friends;res_eastgerman;res_age;res_empl;weight
0;031MUF;1.0;first;7.0;7.0;7.0;Male;Lebanon;Better Life, no Prospective Job;High ('Hochschulabschluss');High;Christ;Male;Medium;Christian;Many;Yes;52.0;Full-time employed;12.774.338
1;031MUF;1.0;second;7.0;7.0;7.0;Male;Lebanon;Better Life, no Prospective Job;High ('Hochschulabschluss');High;Christ;Male;Medium;Christian;Many;Yes;53.0;Full-time employed;12.774.338
2;031MUF;2.0;first;7.0;7.0;7.0;Female;Lebanon;Political Persecution;High ('Hochschulabschluss');High;Muslim;Male;Medium;Christian;Many;Yes;52.0;Full-time employed;12.774.338
3;031MUF;2.0;second;7.0;7.0;7.0;Female;Lebanon;Political Persecution;High ('Hochschulabschluss');High;Muslim;Male;Medium;Christian;Many;Yes;53.0;Full-time employed;12.774.338
4;031MUF;3.0;first;7.0;7.0;7.0;Male;France;Prospective Job;High ('Hochschulabschluss');High;Not religious;Male;Medium;Christian;Many;Yes;52.0;Full-time employed;12.774.338
5;031MUF;3.0;second;7.0;7.0;3.0;Male;France;Prospective Job;High ('Hochschulabschluss');High;Not religious;Male;Medium;Christian;Many;Yes;53.0;Full-time employed;12.774.338
6;031MUF;4.0;first;7.0;7.0;7.0;Male;Kenya;Prospective Job;High ('Hochschulabschluss');High;Muslim;Male;Medium;Christian;Many;Yes;52.0;Full-time employed;12.774.338
7;031MUF;4.0;second;7.0;7.0;7.0;Male;Kenya;Prospective Job;High ('Hochschulabschluss');High;Muslim;Male;Medium;Christian;Many;Yes;53.0;Full-time employed;12.774.338
8;031MUF;5.0;first;7.0;7.0;7.0;Male;France;Better Life, no Prospective Job;High ('Hochschulabschluss');Low;Muslim;Male;Medium;Christian;Many;Yes;52.0;Full-time employed;12.774.338
9;031MUF;5.0;second;4.0;4.0;2.0;Male;France;Better Life, no Prospective Job;High ('Hochschulabschluss');Low;Muslim;Male;Medium;Christian;Many;Yes;53.0;Full-time employed;12.774.338
10;031MUF;6.0;first;7.0;7.0;7.0;Male;Kenya;Political Persecution;Low ('geringqualifiziert');High;Muslim;Male;Medium;Christian;Many;Yes;52.0;Full-time employed;12.774.338
11;031MUF;6.0;second;7.0;7.0;7.0;Male;Kenya;Political Persecution;Low ('geringqualifiziert');High;Muslim;Male;Medium;Christian;Many;Yes;53.0;Full-time employed;12.774.338
12;031MUF;7.0;first;7.0;7.0;7.0;Male;Kenya;Prospective Job;Low ('geringqualifiziert');Low;Christ;Male;Medium;Christian;Many;Yes;52.0;Full-time employed;12.774.338
13;031MUF;7.0;second;7.0;7.0;7.0;Male;Kenya;Prospective Job;Low ('geringqualifiziert');Low;Christ;Male;Medium;Christian;Many;Yes;53.0;Full-time employed;12.774.338
14;031MUF;8.0;first;7.0;7.0;7.0;Male;Lebanon;Political Persecution;Low ('geringqualifiziert');Low;Not religious;Male;Medium;Christian;Many;Yes;52.0;Full-time employed;12.774.338
15;031MUF;8.0;second;7.0;7.0;7.0;Male;Lebanon;Political Persecution;Low ('geringqualifiziert');Low;Not religious;Male;Medium;Christian;Many;Yes;53.0;Full-time employed;12.774.338
16;031MUF;9.0;first;7.0;7.0;7.0;Female;Kenya;Political Persecution;High ('Hochschulabschluss');Low;Christ;Male;Medium;Christian;Many;Yes;52.0;Full-time employed;12.774.338
17;031MUF;9.0;second;7.0;7.0;7.0;Female;Kenya;Political Persecution;High ('Hochschulabschluss');Low;Christ;Male;Medium;Christian;Many;Yes;53.0;Full-time employed;12.774.338
18;031MUF;10.0;first;7.0;7.0;7.0;Female;Kenya;Prospective Job;High ('Hochschulabschluss');Low;Not religious;Male;Medium;Christian;Many;Yes;52.0;Full-time employed;12.774.338
19;031MUF;10.0;second;7.0;7.0;1.0;Female;Kenya;Prospective Job;High ('Hochschulabschluss');Low;Not religious;Male;Medium;Christian;Many;Yes;53.0;Full-time employed;12.774.338
20;031MUF;11.0;first;7.0;7.0;7.0;Female;France;Prospective Job;Low ('geringqualifiziert');High;Christ;Male;Medium;Christian;Many;Yes;52.0;Full-time employed;12.774.338
21;031MUF;11.0;second;7.0;7.0;3.0;Female;France;Prospective Job;Low ('geringqualifiziert');High;Christ;Male;Medium;Christian;Many;Yes;53.0;Full-time employed;12.774.338
22;031MUF;12.0;first;7.0;7.0;7.0;Female;Kenya;Better Life, no Prospective Job;Low ('geringqualifiziert');High;Not religious;Male;Medium;Christian;Many;Yes;52.0;Full-time employed;12.774.338
23;031MUF;12.0;second;7.0;7.0;1.0;Female;Kenya;Better Life, no Prospective Job;Low ('geringqualifiziert');High;Not religious;Male;Medium;Christian;Many;Yes;53.0;Full-time employed;12.774.338
24;031MUF;13.0;first;7.0;7.0;7.0;Female;France;Better Life, no Prospective Job;Low ('geringqualifiziert');Low;Muslim;Male;Medium;Christian;Many;Yes;52.0;Full-time employed;12.774.338
25;031MUF;13.0;second;7.0;7.0;7.0;Female;France;Better Life, no Prospective Job;Low ('geringqualifiziert');Low;Muslim;Male;Medium;Christian;Many;Yes;53.0;Full-time employed;12.774.338
26;031MUF;14.0;first;7.0;7.0;7.0;Female;Lebanon;Prospective Job;Low ('geringqualifiziert');Low;Muslim;Male;Medium;Christian;Many;Yes;52.0;Full-time employed;12.774.338
27;031MUF;14.0;second;7.0;6.0;6.0;Female;Lebanon;Prospective Job;Low ('geringqualifiziert');Low;Muslim;Male;Medium;Christian;Many;Yes;53.0;Full-time employed;12.774.338
28;037O2Z;1.0;first;7.0;7.0;5.0;Male;Lebanon;Better Life, no Prospective Job;High ('Hochschulabschluss');High;Christ;Female;High;None;Some;No;28.0;Not in labor force;0.8080205
29;037O2Z;1.0;second;7.0;7.0;4.0;Male;Lebanon;Better Life, no Prospective Job;High ('Hochschulabschluss');High;Christ;Female;High;None;Few;No;29.0;Part-time employed;0.8080205
30;037O2Z;2.0;first;7.0;7.0;7.0;Female;Lebanon;Political Persecution;High ('Hochschulabschluss');High;Muslim;Female;High;None;Some;No;28.0;Not in labor force;0.8080205
31;037O2Z;2.0;second;7.0;7.0;7.0;Female;Lebanon;Political Persecution;High ('Hochschulabschluss');High;Muslim;Female;High;None;Few;No;29.0;Part-time employed;0.8080205
32;037O2Z;3.0;first;7.0;7.0;7.0;Male;France;Prospective Job;High ('Hochschulabschluss');High;Not religious;Female;High;None;Some;No;28.0;Not in labor force;0.8080205
33;037O2Z;3.0;second;7.0;7.0;5.0;Male;France;Prospective Job;High ('Hochschulabschluss');High;Not religious;Female;High;None;Few;No;29.0;Part-time employed;0.8080205
34;037O2Z;4.0;first;7.0;7.0;7.0;Male;Kenya;Prospective Job;High ('Hochschulabschluss');High;Muslim;Female;High;None;Some;No;28.0;Not in labor force;0.8080205
35;037O2Z;4.0;second;7.0;7.0;5.0;Male;Kenya;Prospective Job;High ('Hochschulabschluss');High;Muslim;Female;High;None;Few;No;29.0;Part-time employed;0.8080205
36;037O2Z;5.0;first;7.0;7.0;3.0;Male;France;Better Life, no Prospective Job;High ('Hochschulabschluss');Low;Muslim;Female;High;None;Some;No;28.0;Not in labor force;0.8080205
37;037O2Z;5.0;second;7.0;7.0;4.0;Male;France;Better Life, no Prospective Job;High ('Hochschulabschluss');Low;Muslim;Female;High;None;Few;No;29.0;Part-time employed;0.8080205
38;037O2Z;6.0;first;7.0;7.0;7.0;Male;Kenya;Political Persecution;Low ('geringqualifiziert');High;Muslim;Female;High;None;Some;No;28.0;Not in labor force;0.8080205
39;037O2Z;6.0;second;7.0;7.0;7.0;Male;Kenya;Political Persecution;Low ('geringqualifiziert');High;Muslim;Female;High;None;Few;No;29.0;Part-time employed;0.8080205
40;037O2Z;7.0;first;7.0;7.0;7.0;Male;Kenya;Prospective Job;Low ('geringqualifiziert');Low;Christ;Female;High;None;Some;No;28.0;Not in labor force;0.8080205
41;037O2Z;7.0;second;7.0;7.0;5.0;Male;Kenya;Prospective Job;Low ('geringqualifiziert');Low;Christ;Female;High;None;Few;No;29.0;Part-time employed;0.8080205
42;037O2Z;8.0;first;7.0;7.0;7.0;Male;Lebanon;Political Persecution;Low ('geringqualifiziert');Low;Not religious;Female;High;None;Some;No;28.0;Not in labor force;0.8080205
43;037O2Z;8.0;second;7.0;7.0;7.0;Male;Lebanon;Political Persecution;Low ('geringqualifiziert');Low;Not religious;Female;High;None;Few;No;29.0;Part-time employed;0.8080205
44;037O2Z;9.0;first;7.0;7.0;7.0;Female;Kenya;Political Persecution;High ('Hochschulabschluss');Low;Christ;Female;High;None;Some;No;28.0;Not in labor force;0.8080205
45;037O2Z;9.0;second;7.0;7.0;7.0;Female;Kenya;Political Persecution;High ('Hochschulabschluss');Low;Christ;Female;High;None;Few;No;29.0;Part-time employed;0.8080205
46;037O2Z;10.0;first;7.0;7.0;7.0;Female;Kenya;Prospective Job;High ('Hochschulabschluss');Low;Not religious;Female;High;None;Some;No;28.0;Not in labor force;0.8080205
47;037O2Z;10.0;second;7.0;7.0;5.0;Female;Kenya;Prospective Job;High ('Hochschulabschluss');Low;Not religious;Female;High;None;Few;No;29.0;Part-time employed;0.8080205
48;037O2Z;11.0;first;7.0;7.0;7.0;Female;France;Prospective Job;Low ('geringqualifiziert');High;Christ;Female;High;None;Some;No;28.0;Not in labor force;0.8080205
49;037O2Z;11.0;second;7.0;7.0;5.0;Female;France;Prospective Job;Low ('geringqualifiziert');High;Christ;Female;High;None;Few;No;29.0;Part-time employed;0.8080205
50;037O2Z;12.0;first;7.0;7.0;4.0;Female;Kenya;Better Life, no Prospective Job;Low ('geringqualifiziert');High;Not religious;Female;High;None;Some;No;28.0;Not in labor force;0.8080205
51;037O2Z;12.0;second;7.0;7.0;5.0;Female;Kenya;Better Life, no Prospective Job;Low ('geringqualifiziert');High;Not religious;Female;High;None;Few;No;29.0;Part-time employed;0.8080205
52;037O2Z;13.0;first;7.0;7.0;3.0;Female;France;Better Life, no Prospective Job;Low ('geringqualifiziert');Low;Muslim;Female;High;None;Some;No;28.0;Not in labor force;0.8080205
53;037O2Z;13.0;second;7.0;7.0;4.0;Female;France;Better Life, no Prospective Job;Low ('geringqualifiziert');Low;Muslim;Female;High;None;Few;No;29.0;Part-time employed;0.8080205
54;037O2Z;14.0;first;7.0;7.0;7.0;Female;Lebanon;Prospective Job;Low ('geringqualifiziert');Low;Muslim;Female;High;None;Some;No;28.0;Not in labor force;0.8080205
55;037O2Z;14.0;second;7.0;7.0;5.0;Female;Lebanon;Prospective Job;Low ('geringqualifiziert');Low;Muslim;Female;High;None;Few;No;29.0;Part-time employed;0.8080205
56;05BO5A;1.0;first;5.0;7.0;2.0;Male;Lebanon;Better Life, no Prospective Job;High ('Hochschulabschluss');High;Christ;Female;High;Christian;None;No;30.0;Full-time employed;0.7464082
57;05BO5A;1.0;second;3.0;3.0;2.0;Male;Lebanon;Better Life, no Prospective Job;High ('Hochschulabschluss');High;Christ;Female;High;Christian;Few;No;31.0;Full-time employed;0.7464082
58;05BO5A;2.0;first;7.0;7.0;2.0;Female;Lebanon;Political Persecution;High ('Hochschulabschluss');High;Muslim;Female;High;Christian;None;No;30.0;Full-time employed;0.7464082
59;05BO5A;2.0;second;6.0;6.0;5.0;Female;Lebanon;Political Persecution;High ('Hochschulabschluss');High;Muslim;Female;High;Christian;Few;No;31.0;Full-time employed;0.7464082
60;05BO5A;3.0;first;7.0;7.0;3.0;Male;France;Prospective Job;High ('Hochschulabschluss');High;Not religious;Female;High;Christian;None;No;30.0;Full-time employed;0.7464082
61;05BO5A;3.0;second;7.0;7.0;4.0;Male;France;Prospective Job;High ('Hochschulabschluss');High;Not religious;Female;High;Christian;Few;No;31.0;Full-time employed;0.7464082
62;05BO5A;4.0;first;7.0;7.0;2.0;Male;Kenya;Prospective Job;High ('Hochschulabschluss');High;Muslim;Female;High;Christian;None;No;30.0;Full-time employed;0.7464082
63;05BO5A;4.0;second;7.0;7.0;6.0;Male;Kenya;Prospective Job;High ('Hochschulabschluss');High;Muslim;Female;High;Christian;Few;No;31.0;Full-time employed;0.7464082
64;05BO5A;5.0;first;7.0;7.0;3.0;Male;France;Better Life, no Prospective Job;High ('Hochschulabschluss');Low;Muslim;Female;High;Christian;None;No;30.0;Full-time employed;0.7464082
65;05BO5A;5.0;second;5.0;5.0;4.0;Male;France;Better Life, no Prospective Job;High ('Hochschulabschluss');Low;Muslim;Female;High;Christian;Few;No;31.0;Full-time employed;0.7464082
66;05BO5A;6.0;first;7.0;7.0;4.0;Male;Kenya;Political Persecution;Low ('geringqualifiziert');High;Muslim;Female;High;Christian;None;No;30.0;Full-time employed;0.7464082
67;05BO5A;6.0;second;5.0;5.0;4.0;Male;Kenya;Political Persecution;Low ('geringqualifiziert');High;Muslim;Female;High;Christian;Few;No;31.0;Full-time employed;0.7464082
68;05BO5A;7.0;first;7.0;7.0;2.0;Male;Kenya;Prospective Job;Low ('geringqualifiziert');Low;Christ;Female;High;Christian;None;No;30.0;Full-time employed;0.7464082
69;05BO5A;7.0;second;7.0;7.0;6.0;Male;Kenya;Prospective Job;Low ('geringqualifiziert');Low;Christ;Female;High;Christian;Few;No;31.0;Full-time employed;0.7464082
70;05BO5A;8.0;first;7.0;7.0;4.0;Male;Lebanon;Political Persecution;Low ('geringqualifiziert');Low;Not religious;Female;High;Christian;None;No;30.0;Full-time employed;0.7464082
71;05BO5A;8.0;second;6.0;6.0;5.0;Male;Lebanon;Political Persecution;Low ('geringqualifiziert');Low;Not religious;Female;High;Christian;Few;No;31.0;Full-time employed;0.7464082
72;05BO5A;9.0;first;7.0;7.0;3.0;Female;Kenya;Political Persecution;High ('Hochschulabschluss');Low;Christ;Female;High;Christian;None;No;30.0;Full-time employed;0.7464082
73;05BO5A;9.0;second;6.0;6.0;5.0;Female;Kenya;Political Persecution;High ('Hochschulabschluss');Low;Christ;Female;High;Christian;Few;No;31.0;Full-time employed;0.7464082
74;05BO5A;10.0;first;5.0;5.0;2.0;Female;Kenya;Prospective Job;High ('Hochschulabschluss');Low;Not religious;Female;High;Christian;None;No;30.0;Full-time employed;0.7464082
75;05BO5A;10.0;second;6.0;6.0;5.0;Female;Kenya;Prospective Job;High ('Hochschulabschluss');Low;Not religious;Female;High;Christian;Few;No;31.0;Full-time employed;0.7464082
