ISO_Code,GDP PPP per Capita 2020,Population 2020,Refugees 2020
ALB,13439.6652780757,2866849,105
AUT,55683.8408238588,8907777,141816
BEL,53034.961003118,11561717,64973
BGR,24613.8350724496,6979175,21113
BIH,15623.0974695199,3318407,5232
BLR,20239.2018200072,9633740,2900
CHE,71742.5166044165,8638613,115798
CYP,39452.8673523841,1237537,13997
CZE,41603.9885681455,10530953,1919
DEU,54792.0644751381,83328988,1210596
DNK,60229.9147703017,5825641,36643
ESP,37765.8013368995,47363807,103624
EST,37600.5920478364,1329444,277
FIN,50506.2858973317,5529468,23428
FRA,46983.0419157962,64480053,436055
GBR,46482.8622423026,67059474,132304
GRC,27909.5444893558,10512232,103101
HRV,28841.7140738027,4096868,956
HUN,33077.2339166746,9750573,5838
IRL,93180.9453964352,4946119,9035
ISL,53622.2450114628,366669,1460
ITA,41828.5540397184,59500579,128033
LIE,,38756,129
LTU,38883.1190343211,2820267,1880
LUX,117500.207221609,630399,5158
LVA,31464.484293229,1897052,637
MCO,,36922,22
MDA,13000.4015858764,3084847,405
MKD,16959.671228418,2111072,303
MLT,41740.7703938873,515357,9168
MNE,20029.9111067353,629048,166
NLD,59268.1352982384,17434557,95897
NOR,62644.8457362642,5379839,49653
POL,34240.2473551909,38428366,2771
PRT,34148.9529253925,10298192,2405
ROU,32116.4809530635,19442038,3581
SRB,19107.2003013664,7358005,26085
SVK,31356.458282425,5456681,1006
SVN,39768.6327915153,2117641,823
SWE,55037.7239019554,10368969,248372
TUR,27235.4258308094,84135428,3652362
UKR,13054.7609939201,43909666,2249
