Year,Country of origin,Country of origin (ISO),Country of asylum,Country of asylum (ISO),Refugees under UNHCR's mandate,Asylum-seekers,IDPs of concern to UNHCR,Other people in need of international protection,Stateless persons,Host Community,Others of concern
1951,Unknown ,UNK,Austria,AUT,282000,0,0,-,0,-,0
1951,Unknown ,UNK,Belgium,BEL,55000,0,0,-,0,-,0
1951,Unknown ,UNK,Denmark,DNK,2000,0,0,-,0,-,0
1951,Unknown ,UNK,France,FRA,290000,0,0,-,0,-,0
1951,Unknown ,UNK,United Kingdom of Great Britain and Northern Ireland,GBR,208000,0,0,-,0,-,0
1951,Unknown ,UNK,Germany,DEU,265000,0,0,-,0,-,0
1951,Unknown ,UNK,Greece,GRC,18000,0,0,-,0,-,0
1951,Unknown ,UNK,Italy,ITA,26500,0,0,-,0,-,0
1951,Unknown ,UNK,Luxembourg,LUX,1800,0,0,-,0,-,0
1951,Unknown ,UNK,Netherlands (Kingdom of the),NLD,14200,0,0,-,0,-,0
1951,Unknown ,UNK,Norway,NOR,2500,0,0,-,0,-,0
1951,Unknown ,UNK,Spain,ESP,2000,0,0,-,0,-,0
1951,Unknown ,UNK,Sweden,SWE,44000,0,0,-,0,-,0
1951,Unknown ,UNK,Switzerland,CHE,10000,0,0,-,0,-,0
1951,Unknown ,UNK,Türkiye,TUR,2700,0,0,-,0,-,0
1952,Unknown ,UNK,Austria,AUT,238200,0,0,-,0,-,0
1952,Unknown ,UNK,Belgium,BEL,53500,0,0,-,0,-,0
1952,Unknown ,UNK,Denmark,DNK,1800,0,0,-,0,-,0
1952,Unknown ,UNK,France,FRA,280000,0,0,-,0,-,0
1952,Unknown ,UNK,United Kingdom of Great Britain and Northern Ireland,GBR,200000,0,0,-,0,-,0
1952,Unknown ,UNK,Germany,DEU,240000,0,0,-,0,-,0
1952,Unknown ,UNK,Greece,GRC,19000,0,0,-,0,-,0
1952,Unknown ,UNK,Italy,ITA,25500,0,0,-,0,-,0
1952,Unknown ,UNK,Luxembourg,LUX,1800,0,0,-,0,-,0
1952,Unknown ,UNK,Netherlands (Kingdom of the),NLD,14100,0,0,-,0,-,0
1952,Unknown ,UNK,Norway,NOR,2500,0,0,-,0,-,0
1952,Unknown ,UNK,Sweden,SWE,42000,0,0,-,0,-,0
1952,Unknown ,UNK,Switzerland,CHE,9800,0,0,-,0,-,0
1952,Unknown ,UNK,Türkiye,TUR,2000,0,0,-,0,-,0
1953,Unknown ,UNK,Austria,AUT,215200,0,0,-,0,-,0
1953,Unknown ,UNK,Belgium,BEL,53000,0,0,-,0,-,0
1953,Unknown ,UNK,Denmark,DNK,1600,0,0,-,0,-,0
1953,Unknown ,UNK,France,FRA,270000,0,0,-,0,-,0
