Country Name,Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Unnamed: 65
Albania,ALB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2548.11243689941,1908.09530432666,1822.33476086485,2056.37308669894,2288.6759563705,2664.37301811108,2978.50845068672,2717.6443480695,3021.04157736341,3471.66150890924,3860.80462705845,4299.54649293767,4661.40269532788,5000.04936305629,5427.73266241123,5865.30190379844,6566.57282794654,7283.34263812006,8228.34804111345,8813.02946080293,9628.72196177826,10207.7675731705,10526.2591833762,10570.963733047,11259.2675137673,11658.9055171112,12078.8431361843,12770.9642910053,13483.0116137185,14012.9764354305,13439.6652780757,
Austria,AUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19461.9969383816,20605.8535653617,21281.1547117021,21720.5110664013,22629.9709565858,23684.6200543557,24553.8401338753,25426.7174051837,26675.0431579236,27606.4830303088,29376.0197364753,29702.7975286074,31178.6933297272,32144.2418052358,33773.825776679,35013.7140443423,37662.1851663577,39430.6091682131,41316.225176699,40918.1321224314,42009.4385277438,44452.7327457999,46457.3457770311,47922.0491207455,48799.7154676985,49865.9039424185,52684.0171130768,54172.9867888254,56960.0914258929,58076.348801448,55683.8408238588,
Belgium,BEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18678.0102895051,19590.6991810208,20261.478105655,20462.1464568,21507.1213604371,22434.7069001259,22738.4488691093,23732.272246394,24368.9136857593,25440.8411888638,27784.5715041684,28788.0628411374,30282.2886450283,30932.8525095624,32063.0803240468,33177.8909458158,35259.1867115805,36791.2004331501,37883.3319417819,37749.5095365743,39840.0881958103,40942.372710454,42290.7620520019,43671.11959259,44929.685593416,46200.904454307,48597.3999826201,50442.2705419624,52528.1185388814,54269.5140327442,53034.961003118,
Bulgaria,BGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7547.12236933613,7214.5137794643,6916.17415181714,7031.17228654894,7336.7470810697,7738.8436379966,6846.98433922176,5750.43943730777,6177.65365376397,5807.81170069875,6421.95913484706,6958.97841729051,7786.4484224601,8416.98366742999,9201.50412778876,10291.4377739545,11408.1180610219,12811.3587714533,14335.7146000831,14181.1546844467,14956.4871777211,15747.0853813627,16327.8726078533,16647.0063974042,17616.913178474,18391.9274727456,20074.3762957132,21469.9454411605,22990.1054861125,24523.7922886874,24613.8350724496,
Bosnia and Herzegovina,BIH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900.779859267459,1142.14294603017,2235.41323073404,3081.08469426658,3603.49238339083,3996.80101014108,4598.15511157158,4791.89579244824,5196.52975386123,5461.78244298326,5949.36093891037,6479.64575355988,7414.01942076698,8196.49631368481,9028.85859514751,9028.63350729932,9348.26456908985,9976.49077413797,10304.0244805857,11016.5504511762,11433.1904283714,12010.7594974624,13072.1830096742,13753.8374426837,14901.781224632,15728.1755051663,15623.0974695199,
Belarus,BLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5228.56443738576,5338.05436369636,4924.74109918553,4648.04913945108,4196.82740223491,3851.68347772947,4045.62609197246,4606.52243533804,5072.46925512,5344.6582135647,5808.35742587087,6248.21138224153,6709.84550284634,7367.19377907469,8489.48408699124,9642.42979250313,10994.7667382994,12317.4565015173,13885.7467207654,14054.106018462,15360.1478975791,16563.2014078209,18105.2867180444,18994.1901887615,19008.0610153147,18095.6651782737,17785.9431970966,18356.1007741722,19430.2787724315,20094.5258122074,20239.2018200072,
Switzerland,CHE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28470.3589447096,28801.3748996261,29121.9921289225,29504.797071,30275.1914696119,30851.8004105071,31534.0960736994,32771.0593671899,33905.1273776599,34818.0760351278,36772.6946184421,37896.6969577575,38814.3717381965,38840.8818833536,40336.4089557059,41749.2164457237,46502.9282746387,51208.0988282218,54096.8078629618,53354.0046402285,54858.4480758362,57987.5020305492,59933.5986829168,62225.087267788,64103.0104476336,66020.2043398841,68105.1549836834,69103.570264696,71660.2068398902,72033.9294404588,71742.5166044165,
Cyprus,CYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13341.1233332888,13539.2352689243,14751.7426916387,14844.2883330755,15727.1261112226,17087.0455549047,17314.8723806456,17780.684444518,18758.6969158051,19662.714224745,21288.5098267129,22861.8854833861,23556.4086128116,24279.6775935031,25944.854103442,27763.1536288336,30015.4141242199,32881.5458154318,34830.2361796726,33884.8799401104,33423.5009757311,33313.5766982193,31834.5182131095,30375.09107743,30080.2301574798,31815.2740406778,35719.1905721204,38287.9691989983,40513.6916170718,42384.2408125411,39452.8673523841,
Czech Republic,CZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12717.9698654759,11648.8535434863,11841.855624409,12117.4496519413,12731.6704277588,13852.1499044007,14685.6935317916,14824.6595234413,14977.7220609734,15396.3117820518,16235.4806329245,17621.0541268449,18252.5727653685,19538.0704015253,20932.0784185044,22095.3878539836,23923.7038826992,26282.375491299,27974.487131849,27761.5091540229,27881.9679972276,29001.3680365492,29254.7312685144,30818.1081558477,32502.4753540118,33899.2865661657,36097.7052556977,38824.8879170919,41135.4929835656,42847.0047376207,41603.9885681455,
Germany,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19452.5734006722,20984.2498723886,21709.5013363356,21862.8021787152,22784.581468641,23552.2533168405,24071.8978026703,24572.6884223156,25345.0644636765,26291.2110793898,27199.0440906856,28368.543282612,29178.6374658122,29908.1395291325,31333.8363031281,31794.0960095207,34160.3449318802,36287.4822419008,37802.3874303197,36815.8440540696,38952.6946021004,42541.5310884096,43359.6148271723,44993.8927459315,47011.5510935131,47609.7810045816,50579.6839299266,53071.4555699913,55235.366304833,55652.8874913932,54792.0644751381,
Denmark,DNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18233.9460963723,19063.7439033892,19814.1433556692,20218.4990438268,21678.0844821497,22684.2526714422,23734.8315577158,24928.4029270327,25814.0591230284,26653.8239044055,28658.1249551454,29437.3103446499,30640.3456230968,30820.3892235438,32938.692099664,34150.1594558945,37334.3901608479,39006.2023239418,41278.3268270571,40331.4068810678,43003.0545921155,44403.3848413929,44803.9682421214,46726.8541437832,47901.4473627066,49045.3391904109,51976.0057060956,55356.680780178,57482.9623999067,58700.9746656312,60229.9147703017,
Spain,ESP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13678.2757043239,14464.0024499122,14858.1450522939,14975.5723298173,15585.507450352,16279.0965733251,16975.1210483621,17912.753584706,19096.6148932205,19954.2902150512,21584.2512044454,22949.1818514072,24371.5988492666,25046.1107003124,26143.6321744545,27606.9340516269,30720.2222055087,32469.5304500615,33263.2723985249,32092.3648208603,31682.7131000557,31867.9732396862,31720.1199986535,32434.0032017704,33525.7406299089,34903.1274779473,37286.2134326488,39528.9253872668,40696.3876815487,41696.3111045261,37765.8013368995,
Estonia,EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6476.32772150478,6889.81006053367,7979.37772588548,8450.57759846529,8412.06677647343,9421.29142254113,10314.2628230149,11663.2715046648,13132.5807216854,14536.3474111754,16634.8927393745,19345.3147116353,22195.1975941957,22802.3421764634,20477.8524315004,21619.4545478307,24557.2361475947,25996.0467779508,27464.5186781161,28945.4653303277,29175.9259267894,31312.7522996878,33821.93290847,36249.3581462876,37850.0741478592,37600.5920478364,
