ISO_Code,GDP per Capita 2020,Population 2020,Refugees 2020
ALB,5246.29230634793,2866849,105
AUT,48586.8013213238,8907777,141816
BEL,45159.3482229717,11561717,64973
BGR,10079.2033812203,6979175,21113
BIH,6079.73828544838,3318407,5232
BLR,6424.15217642722,9633740,2900
CHE,87097.0364503764,8638613,115798
CYP,27527.8453055825,1237537,13997
CZE,22931.2745975622,10530953,1919
DEU,46208.4294717472,83328988,1210596
DNK,61063.3164304238,5825641,36643
ESP,27063.1939180299,47363807,103624
EST,23027.0269956294,1329444,277
FIN,48744.9881267787,5529468,23428
FRA,39030.3603713482,64480053,436055
GBR,41059.1688090547,67059474,132304
GRC,17622.5410033504,10512232,103101
HRV,14134.1626811193,4096868,956
HUN,15980.740889649,9750573,5838
IRL,85267.7647437582,4946119,9035
ISL,59270.1800510483,366669,1460
ITA,31714.2209467105,59500579,128033
LIE,,38756,129
LTU,20233.6413480843,2820267,1880
LUX,116014.602496869,630399,5158
LVA,17726.2529351368,1897052,637
MCO,173688.189360292,36922,22
MDA,4547.05972064671,3084847,405
MKD,5917.26257545221,2111072,303
MLT,27884.6428274251,515357,9168
MNE,7677.15222569996,629048,166
NLD,52397.1167129558,17434557,95897
NOR,67329.6777910967,5379839,49653
POL,15720.994663556,38428366,2771
PRT,22176.2967116929,10298192,2405
ROU,12896.0886211622,19442038,3581
SRB,7720.51057195234,7358005,26085
SVK,19266.5135736247,5456681,1006
SVN,25517.33066526,2117641,823
SWE,52274.4087868798,10368969,248372
TUR,8536.43331960632,84135428,3652362
UKR,3724.93843689756,43909666,2249
