Year,Country / territory of asylum/residence,Origin,RSD procedure type / level,Tota pending start-year,of which UNHCR-assisted(start-year),Applied during year,decisions_recognized,decisions_other,Rejected,Otherwise closed,Total decisions,Total pending end-year,of which UNHCR-assisted(end-year)
2000,Ukraine,Afghanistan,G / FI,40.0,0,662,275,0,412,0,687,23,0
2000,Turkey,Afghanistan,U / FI,67.0,67,81,29,0,24,49,102,46,46
2000,Sweden,Afghanistan,G / AR,0.0,0,0,0,44,124,1,169,0,0
2000,Sweden,Afghanistan,G / FI,0.0,0,374,33,563,78,13,687,0,0
2000,Slovenia,Afghanistan,G / FI,4.0,0,247,0,0,2,11,13,238,0
2000,Slovakia,Afghanistan,G / FI,90.0,0,624,5,0,28,559,592,122,0
2000,Romania,Afghanistan,G / FI,10.0,10,282,27,35,191,0,253,0,0
2000,Portugal,Afghanistan,G / FI,0.0,0,4,0,1,1,0,2,0,0
2000,Poland,Afghanistan,G / AR,0.0,0,0,0,0,2,0,2,0,0
2000,Poland,Afghanistan,G / FI,0.0,0,299,0,0,8,392,400,0,0
2000,Norway,Afghanistan,G / AR,0.0,0,0,0,0,57,0,57,0,0
2000,Norway,Afghanistan,G / FI,0.0,0,326,16,104,519,17,656,0,0
2000,Netherlands,Afghanistan,G / JR,0.0,0,0,0,0,0,0,,1976,0
2000,Netherlands,Afghanistan,G / AR,0.0,0,0,482,254,2791,637,4164,4842,0
2000,Netherlands,Afghanistan,G / FI,0.0,0,5055,324,2345,205,2340,5214,4113,0
2000,Luxembourg,Afghanistan,G / FI,0.0,0,14,0,0,0,0,,0,0
2000,Lithuania,Afghanistan,G / FI,26.0,26,20,1,0,9,51,61,4,4
2000,Kazakhstan,Afghanistan,G / FI,0.0,0,52,36,517,9,69,631,0,0
2000,Italy,Afghanistan,G / FA,0.0,0,524,30,0,321,0,351,0,0
2000,Iceland,Afghanistan,G / FI,0.0,0,3,0,0,0,0,,3,0
2000,Ireland,Afghanistan,G / TR,0.0,0,0,0,1,0,0,1,0,0
2000,Ireland,Afghanistan,G / FI,0.0,0,7,7,0,3,0,10,0,0
2000,Hungary,Afghanistan,G / FI,553.0,0,2185,82,176,389,1643,2290,448,0
2000,Croatia,Afghanistan,G / FI,1.0,0,0,0,0,0,0,,1,0
2000,Greece,Afghanistan,G / FI,0.0,0,446,69,1,89,0,159,363,0
2000,United Kingdom,Afghanistan,G / BL,0.0,0,0,0,10,0,0,10,0,0
2000,United Kingdom,Afghanistan,G / FI,0.0,0,5555,375,695,460,1055,2585,0,0
2000,France,Afghanistan,G / FI,0.0,0,244,156,0,48,0,204,0,0
2000,Finland,Afghanistan,G / FI,0.0,0,31,1,44,0,2,47,0,0
2000,Estonia,Afghanistan,G / FI,6.0,0,0,2,0,0,0,2,4,0
2000,Spain,Afghanistan,G / FI,0.0,0,43,32,0,3,2,37,0,0
2000,Denmark,Afghanistan,G / AR,0.0,0,0,35,56,61,0,152,16,0
2000,Denmark,Afghanistan,G / FI,0.0,0,1340,879,91,119,0,1089,503,0
2000,Germany,Afghanistan,G / RA,31.0,0,5756,0,31,17,55,103,5723,0
2000,Germany,Afghanistan,G / NA,1198.0,0,5380,31,721,2450,142,3344,3506,0
2000,Cyprus,Afghanistan,U / FI,2.0,2,4,1,0,4,0,5,1,1
2000,Switzerland,Afghanistan,G / CA,0.0,0,0,0,46,0,0,46,0,0
2000,Switzerland,Afghanistan,G / FI,468.0,0,433,201,46,53,52,352,621,0
2000,Belarus,Afghanistan,G / FI,393.0,0,229,0,171,9,207,387,235,0
2000,Bosnia and Herzegovina,Afghanistan,U / FI,2.0,0,1,0,0,0,2,2,1,1
2000,Bulgaria,Afghanistan,G / FI,433.0,0,675,94,303,127,156,680,428,0
2000,Belgium,Afghanistan,G / AR,0.0,0,0,2,0,15,0,17,0,0
