ID,VAR00,VAR00,VAR01,VAR02,VAR02_1,VAR03,VAR04,VAR05,VAR06,VAR07,VAR08,VAR09_1,VAR09_2,VAR09_3,VAR09_4,VAR09_5,VAR09_6,VAR09_7,VAR09_8,VAR09_9,VAR24,VAR25,VAR26,VAR27,VAR28,VAR29,VAR30,VAR31,VAR32,VAR33,VAR34,VAR35
2,GAM-M-BER-06/07,DE_1,9,4,Gambia,0,19,0,5,2,8,2,2,2,2,2,2,2,2,1,2,999,1,1,999,1,1,999,1,1,1,999
4,IRA-M-GOE 1110,DE_2,9,4,Iran,1,33,0,2,3,3,2,2,2,2,2,2,2,2,1,999,999,1,0,1,0,0,999,1,1,0,0
7,SYR- M- MUN- 03.12,DE_3,9,1,,0,25,0,5,2,2,2,2,2,2,2,2,2,2,1,4,999,1,0,999,99,99,999,999,1,0,1
8,01 - ITA23052018MICRO,ITA_1,5,4,Gambia,0,999,999,999,3,999,2,2,2,2,2,2,2,2,1,1,999,1,999,999,99,99,999,1,1,999,999
9,02 - ITA04032019MICRO,ITA_2,5,4,Gambia,0,22,999,5,999,7,2,2,2,2,2,2,2,2,1,1,999,1,1,999,1,2,999,999,1,999,999
10,03 - ITA04032019MICRO,ITA_3,5,4,Gambia,0,24,999,5,3,7,2,2,2,2,2,2,2,2,1,1,999,1,1,999,1,1,999,999,1,0,999
11,04 - ITA04032019MICRO,ITA_4,5,4,Gambia,0,18,999,5,3,8,2,2,2,2,2,2,2,2,1,1,999,1,999,999,99,99,999,999,0,999,999
12,05 - ITA04032019MICRO,ITA_5,5,4,Cameroon,0,31,999,5,999,999,2,2,2,2,2,2,2,2,1,1,999,1,1,999,1,2,999,999,1,1,999
15,08 - ITA04032019MICRO,ITA_8,5,4,Nigeria,0,20,999,5,3,999,2,2,2,2,2,2,2,2,1,1,999,1,999,999,99,99,999,999,999,999,999
17,10 - ITA04032019MICRO,ITA_10,5,4,Nigeria,0,31,999,5,999,7,2,2,2,2,2,2,2,2,1,1,999,1,999,999,99,99,999,999,999,999,999
24,17 - ITA04032019MICRO,ITA_17,5,4,Libya,0,22,999,5,999,1,2,2,2,2,2,2,2,2,1,1,999,1,999,999,99,99,999,999,0,0,999
25,18 - ITA04032019MICRO,ITA_18,5,4,Pakistan,0,24,999,5,3,8,2,2,2,2,2,2,2,2,1,1,999,1,1,999,1,2,999,999,0,1,999
27,20 - ITA05032019MICRO,ITA_20,5,4,Nigeria,1,27,1,5,999,3,2,2,2,2,2,2,2,2,1,1,999,1,1,999,1,2,999,999,999,999,999
28,21 - ITA05032019MICRO,ITA_21,5,4,Nigeria,1,24,999,5,999,1,2,2,2,2,2,2,2,2,1,1,999,1,1,999,1,2,999,999,999,999,999
29,22 - ITA05032019MICRO,ITA_22,5,4,Nigeria,1,25,1,3,3,8,2,2,2,2,2,2,2,2,1,2,999,1,0,7,99,99,999,999,0,999,999
31,24 - ITA06032019MICRO,ITA_24,5,4,Senegal,0,36,1,1,999,2,2,2,2,2,2,2,2,2,1,6,999,0,999,999,99,99,999,999,999,999,999
32,25 - ITA06042019MICRO,ITA_25,5,1,,0,26,999,1,999,1,2,2,2,2,2,2,2,2,1,3,999,1,0,999,99,99,999,999,999,999,1
33,26 - ITA06042019MICRO,ITA_26,5,4,Mali,0,29,999,5,999,1,2,2,2,2,2,2,2,2,1,6,999,1,0,999,99,99,999,999,1,999,999
34,27 - ITA06042019MICRO,ITA_27,5,4,Nigeria,0,32,1,5,3,2,2,2,2,2,2,2,2,2,1,6,999,1,0,999,99,99,999,999,999,999,1
38,SYR- M- MUN- 15.12,DE_4,9,1,,0,22,0,5,2,8,2,2,2,2,2,2,2,2,1,4,999,1,0,999,0,99,999,999,999,0,999
39,SYR-F-MUN-03.09,DE_5,9,1,,1,49,2,1,3,8,2,2,2,2,2,1,2,2,2,2,999,1,1,999,1,0,999,999,999,1,1
40,SYR-F-MUN-09.11,DE_6,9,1,,1,34,2,1,3,8,2,2,2,2,2,2,2,2,1,2,999,1,0,999,0,99,999,1,1,1,1
41,PLMISy22,PLM_22,8,1,,0,26,999,5,3,8,2,2,2,2,2,2,2,2,1,2,0,1,0,24,0,99,999,1,999,1,999
43,TUR_67,TR_67,3,1,,1,30,3,1,1,8,2,2,2,2,2,2,2,2,1,4,0,0,0,999,0,0,999,999,999,1,999
46,TUR_70,TR_70,3,1,,0,19,999,5,3,999,2,2,2,2,2,2,2,2,1,5,0,999,999,999,99,99,999,999,999,1,999
50,PLMICh04,PLM_04,8,4,Russia (Chechnya),1,46,2,2,999,7,2,2,2,1,2,2,2,2,2,3,999,999,999,10,99,0,999,999,999,1,1
52,TUR_75,TR_75,3,1,,1,19,0,2,2,8,2,2,2,2,2,2,2,2,1,4,0,0,999,999,99,99,999,999,0,1,999
53,TUR_11,TR_11,3,1,,1,27,2,2,1,8,2,2,2,1,2,2,2,2,2,4,0,0,999,999,99,99,999,999,999,1,999
55,TUR_78,TR_78,3,1,,1,23,1,1,3,8,2,2,2,2,2,2,2,2,1,4,0,0,999,999,99,99,999,999,999,0,0
56,TUR_79,TR_79,3,1,,0,42,0,1,1,1,2,2,2,2,2,2,2,2,1,4,0,0,999,999,99,99,999,999,999,1,999
62,TUR_85,TR_85,3,1,,1,30,3,1,3,5,2,2,2,2,2,2,2,2,1,4,1,999,999,999,99,99,999,999,0,0,0
63,TUR_86,TR_86,3,1,,0,51,2,1,2,2,2,2,2,2,2,1,2,2,2,4,1,999,999,999,99,99,999,999,999,0,0
65,TUR_87,TR_87,3,1,,1,20,999,5,3,8,2,2,2,2,2,2,2,2,1,4,1,0,999,999,99,99,999,999,999,1,1
71,TUR_93,TR_93,3,1,,1,23,999,5,3,8,2,2,2,2,2,2,2,2,1,4,0,0,999,999,99,99,999,999,999,1,1
72,TUR_94,TR_94,3,1,,1,45,3,1,3,5,2,2,2,2,2,2,2,2,1,4,0,0,999,999,99,99,999,999,999,1,1
73,TUR_95,TR_95,3,1,,0,47,6,1,0,1,2,2,2,2,2,2,2,2,1,4,0,0,999,999,0,99,999,999,999,0,999
76,TUR_98,TR_98,3,1,,0,36,3,1,3,5,2,2,2,2,2,2,2,2,1,5,0,0,999,999,99,99,999,999,999,999,999
78,TUR_100,TR_100,3,1,,1,25,999,3,3,8,2,2,2,2,2,2,2,2,1,4,0,0,999,999,99,99,999,999,999,1,1
80,TUR_102,TR_102,3,1,,1,33,3,1,3,5,2,2,2,2,2,2,2,2,1,4,999,999,999,999,99,99,999,999,999,1,999
81,TUR_103,TR_103,3,1,,1,36,5,1,3,5,2,2,2,2,2,2,2,2,1,4,0,0,999,999,0,99,999,999,999,999,999
85,SYR-F-MUN-23.08,DE_7,9,1,,1,38,4,1,2,2,2,2,2,2,2,2,2,2,1,2,999,1,0,1,99,99,999,999,999,1,1
88,SYR- M- MUN- 28.11,DE_8,9,1,,0,20,0,5,2,2,2,2,2,2,2,2,2,2,1,2,999,1,1,18,1,0,999,999,1,0,1
90,PLMICh03,PLM_03,8,4,Russia (Chechnya),1,35,1,5,2,7,2,2,2,1,2,2,2,2,2,1,0,1,0,999,99,99,999,1,1,0,0
