ID,VAR00,VAR00.1,VAR01,VAR02,VAR02_1,VAR03,VAR04,VAR05,VAR06,VAR07,VAR08,VAR09_1,VAR09_2,VAR09_3,VAR09_4,VAR09_5,VAR09_6,VAR09_7,VAR09_8,VAR09_9,VAR24,VAR25,VAR26,VAR27,VAR28,VAR29,VAR30,VAR31,VAR32,VAR33,VAR34,VAR35
2,GAM-M-BER-06/07,DE_1,Germany,4,Gambia,0,19,0,5,2,8,2,2,2,2,2,2,2,2,1,2,999,1,rejected,999,1,1,999,1,1,1,999
4,IRA-M-GOE 1110,DE_2,Germany,4,Iran,1,33,0,2,3,3,2,2,2,2,2,2,2,2,1,999,999,1,not rejected,1,0,0,999,1,1,0,0
7,SYR- M- MUN- 03.12,DE_3,Germany,1,,0,25,0,5,2,2,2,2,2,2,2,2,2,2,1,4,999,1,not rejected,999,99,99,999,999,1,0,1
9,02 - ITA04032019MICRO,ITA_2,Italy,4,Gambia,0,22,999,5,999,7,2,2,2,2,2,2,2,2,1,1,999,1,rejected,999,1,2,999,999,1,999,999
10,03 - ITA04032019MICRO,ITA_3,Italy,4,Gambia,0,24,999,5,3,7,2,2,2,2,2,2,2,2,1,1,999,1,rejected,999,1,1,999,999,1,0,999
12,05 - ITA04032019MICRO,ITA_5,Italy,4,Cameroon,0,31,999,5,999,999,2,2,2,2,2,2,2,2,1,1,999,1,rejected,999,1,2,999,999,1,1,999
25,18 - ITA04032019MICRO,ITA_18,Italy,4,Pakistan,0,24,999,5,3,8,2,2,2,2,2,2,2,2,1,1,999,1,rejected,999,1,2,999,999,0,1,999
27,20 - ITA05032019MICRO,ITA_20,Italy,4,Nigeria,1,27,1,5,999,3,2,2,2,2,2,2,2,2,1,1,999,1,rejected,999,1,2,999,999,999,999,999
28,21 - ITA05032019MICRO,ITA_21,Italy,4,Nigeria,1,24,999,5,999,1,2,2,2,2,2,2,2,2,1,1,999,1,rejected,999,1,2,999,999,999,999,999
29,22 - ITA05032019MICRO,ITA_22,Italy,4,Nigeria,1,25,1,3,3,8,2,2,2,2,2,2,2,2,1,2,999,1,not rejected,7,99,99,999,999,0,999,999
32,25 - ITA06042019MICRO,ITA_25,Italy,1,,0,26,999,1,999,1,2,2,2,2,2,2,2,2,1,3,999,1,not rejected,999,99,99,999,999,999,999,1
33,26 - ITA06042019MICRO,ITA_26,Italy,4,Mali,0,29,999,5,999,1,2,2,2,2,2,2,2,2,1,6,999,1,not rejected,999,99,99,999,999,1,999,999
34,27 - ITA06042019MICRO,ITA_27,Italy,4,Nigeria,0,32,1,5,3,2,2,2,2,2,2,2,2,2,1,6,999,1,not rejected,999,99,99,999,999,999,999,1
38,SYR- M- MUN- 15.12,DE_4,Germany,1,,0,22,0,5,2,8,2,2,2,2,2,2,2,2,1,4,999,1,not rejected,999,0,99,999,999,999,0,999
39,SYR-F-MUN-03.09,DE_5,Germany,1,,1,49,2,1,3,8,2,2,2,2,2,1,2,2,2,2,999,1,rejected,999,1,0,999,999,999,1,1
40,SYR-F-MUN-09.11,DE_6,Germany,1,,1,34,2,1,3,8,2,2,2,2,2,2,2,2,1,2,999,1,not rejected,999,0,99,999,1,1,1,1
41,PLMISy22,PLM_22,Poland,1,,0,26,999,5,3,8,2,2,2,2,2,2,2,2,1,2,0,1,not rejected,24,0,99,999,1,999,1,999
43,TUR_67,TR_67,Turkey,1,,1,30,3,1,1,8,2,2,2,2,2,2,2,2,1,4,0,0,not rejected,999,0,0,999,999,999,1,999
85,SYR-F-MUN-23.08,DE_7,Germany,1,,1,38,4,1,2,2,2,2,2,2,2,2,2,2,1,2,999,1,not rejected,1,99,99,999,999,999,1,1
88,SYR- M- MUN- 28.11,DE_8,Germany,1,,0,20,0,5,2,2,2,2,2,2,2,2,2,2,1,2,999,1,rejected,18,1,0,999,999,1,0,1
90,PLMICh03,PLM_03,Poland,4,Russia (Chechnya),1,35,1,5,2,7,2,2,2,1,2,2,2,2,2,1,0,1,not rejected,999,99,99,999,1,1,0,0
91,PLMICh05,PLM_05,Poland,4,Russia (Chechnya),1,30,2,1,2,1,2,2,2,2,2,2,2,2,1,1,0,1,rejected,999,1,2,999,999,1,0,1
92,PLMICh06,PLM_06,Poland,4,Russia (Chechnya),1,43,3,1,1,3,2,2,2,2,2,2,2,2,1,1,0,1,rejected,999,1,1,999,999,1,1,1
93,AFGH-M-GOE 1110,DE_9,Germany,2,,0,22,0,5,999,8,2,2,2,2,2,2,2,2,1,1,999,1,rejected,999,99,99,999,1,1,1,1
